Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	आदिपूरुषः 	4	आदिपूरुषः 	आदिपूरुष{पुं}{1;एक} 	आदिपूरुष{पुं}{1;एक} 	कर्ता,8	आदिपुरुष 	The prime being	<आदि-पूरुषः>K3	
2	सः 	7	सः 	तद्{पुं}{1;एक} 	तद्{पुं}{1;एक} 	विशेषणम्,1	उसने 	he		
3	अर्घ्यं 	2	अर्घ्यं 	अर्घ्य{पुं}{2;एक}/अर्घ्य{नपुं}{1;एक}/अर्घ्य{नपुं}{2;एक} 	अर्घ्य{पुं}{2;एक} 	कर्म,8	पूजनीय	respectabe		
4	तम् 	1	तम् 	तद्{पुं}{2;एक} 	तद्{पुं}{2;एक} 	विशेषणम्,3	उसकी 	him		
5	अर्घ्यादिकया 	3	अर्घ्यादिकया 	अर्घ्य-अदिका{स्त्री}{3;एक} 	अर्घ्य-अदिका{स्त्री}{3;एक} 	करण,8	पूजासामग्री _से	with offerings of worship beginnning with Arghya	<अर्घ्य-आदिका>B6	
6	सपर्यया 	5	सपर्यया 	सपर्या{स्त्री}{3;एक} 	सपर्या{स्त्री}{3;एक} 	विशेषणम्,5	सेवा पूर्वक	with worship		
7	साधु 	6	साधु 	साधु{अव्य}/साधु{नपुं}{1;एक}/साधु{नपुं}{2;एक} 	साधु{अव्य}	क्रिया-विशेषणम्,8	अच्छी तरह से	well		
8	पर्यपूजयत् 	8	पर्यपूजयत् 	पर्यपूजयत्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;पूजँ;चुरादिः}/पूज्1_णिच्{कर्तरि;लङ्;प्र;एक;परस्मैपदी;पूजँ;चुरादिः}  	पूज्1_णिच्{कर्तरि;लङ्;प्र;एक;परस्मैपदी;पूजँ;चुरादिः}  	0	पूजा की	worshipped		सकर्मककर्तरि
9	मनीषिणः 	16	मनीषिणः 	मनीषिन्{पुं}{1;बहु}/मनीषिन्{पुं}{2;बहु}/मनीषिन्{पुं}{5;एक}/मनीषिन्{पुं}{6;एक} 	मनीषिन्{पुं}{1;बहु}	कर्ता,16	महात्मा लोग	saints		
10	अपुण्यकृतां 	15	अपुण्यकृतां 	अपुण्यकृत्{पुं}{6;बहु}/अपुण्यकृत्{नपुं}{6;बहु} 	अपुण्यकृत्{पुं}{6;बहु} 	षष्ठीसम्बन्धः,11	अपुण्यात्माओं_के 	of sinners	<न-पुण्यकृत>Tn	
11	गृहान् 	9	गृहान् 	गृह{पुं}{2;बहु} 	गृह{पुं}{2;बहु} 	कर्म,16	गृहों_की 	to the houses		
12	प्रणयात् 	11	प्रणयात् 	प्रणय{पुं}{5;एक} 	प्रणय{पुं}{5;एक} 	अपादान,13	प्रेम_से 	affectionately		
13	उपैतुम् 	10	उपैतुम् 	उप_इ1{कृत्_प्रत्ययः:तुमुन्;इण्;अदादिः}/उप_इ1{कृत्_प्रत्ययः:तुमुन्;इण्;अदादिः} 	उप_इ1{कृत्_प्रत्ययः:तुमुन्;इण्;अदादिः} 	प्रयोजनम्,16	आना	to go		
14	अभीप्सवः 	12	अभीप्सवः 	अभीप्सु{पुं}{1;बहु} 	अभीप्सु{पुं}{1;बहु} 	कर्तृसमानाधिकरण,16	इच्छुक	wish		
15	न 	14	न 	न{अव्य} 	न{अव्य} 	सम्बन्धः,16	नहीं 	not		
16	भवन्ति. 	13	भवन्ति 	भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भू;भ्वादिः}. 	भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भू;भ्वादिः}. 	0	होते_हैं. 	be		अकर्मककर्तरि
