Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	प्रफुल्लता-पिच्छ-निभैः 	1	प्रफुल्ल-तापिच्छ-निभैः 	प्रफुल्ल-तापिच्छ-निभ{पुं}{3;बहु}/निभ{नपुं}{3;बहु} 	प्रफुल्ल-तापिच्छ-निभ{पुं}{3;बहु} 	समुच्चितम्विशेषणम्,5	खिले हुए तमाल के समान	resembling the full blown tamāla flowers	<<प्रफुल्ल<तापिच्छ-पुष्पम्>T6-K1>-निभाः>K4****	
2	सप्त-च्छदपांशु-पाण्डुभिः 	5	सप्त-च्छदपांशु-पाण्डुभिः 	सप्त-च्छदपांशु-पाण्डु{पुं}{3;बहु}/पाण्डु{स्त्री}{3;बहु} 	सप्त-च्छदपांशु-पाण्डु{पुं}{3;बहु} 	विशेषणम्,5 	छितवन के पराग के समान श्वेत	white like the pollen of the saptaparņa flowers	<<सप्तच्छद-पांशवः>T6-पाण्डवः>K4	
3	शुभैः 	3	शुभैः 	शुभ{पुं}{3;बहु}/शुभ{नपुं}{3;बहु} 	शुभ{पुं}{3;बहु} 	विशेषणम्,5 	मांगलिक_से 	with auspicious		
4	च 	4	च 	च{अव्य} 	च{अव्य} 	****	और 	and		
5	अभीषुभिः 	2	अभीषुभिः 	अभीषु{पुं}{3;बहु} 	अभीषु{पुं}{3;बहु} 	करणम्,12 	किरणों_से 	by the rays		
6	परस्परेण 	6	परस्परेण 	परस्पर{पुं}{3;एक}/परस्पर{नपुं}{3;एक} 	परस्पर{पुं}{3;एक} 	हेतुः,12 ****	परस्पर_से 	mutually		
7	च्छुरित-अमल-च्छवी 	7	च्छुरित-अमल-च्छवी 	च्छुरित-अमल-च्छवी{स्त्री}{1;द्वि}	च्छुरित-अमल-च्छवी{स्त्री}{1;द्वि} 	विशेषणम्,8	मिश्रित हुई कान्ति वाले	whose spotless hues were blended		
8	तौ 	11	तौ 	तद्{पुं}{1;द्वि}/तद्{पुं}{2;द्वि} 	तद्{पुं}{1;द्वि} 	कर्ता,12 	वे दोनों	those two		
9	तदा 	8	तदा 	तदा{अव्य} 	तदा{अव्य} 	कालाधिकरणम्,12 	तब 	then		
10	एकवर्णौ 	9	एकवर्णौ 	एकवर्ण{पुं}{1;द्वि}/एकवर्ण{पुं}{2;द्वि} 	एकवर्ण{पुं}{1;द्वि} 	प्रतियोगी,11 	एक रंग _के	with same colour		
11	इव 	10	इव 	इव{अव्य} 	इव{अव्य} 	अनुयोगी,12	जैसे 	like		
12	बभूवतुः. 	12	बभूवतुः 	भू1{कर्तरि;लिट्;प्र;द्वि;परस्मैपदी;भू;भ्वादिः}/अस्2{कर्तरि;लिट्;प्र;द्वि;परस्मैपदी;असँ;अदादिः}. 	भू1{कर्तरि;लिट्;प्र;द्वि;परस्मैपदी;भू;भ्वादिः}. 	0	हुए. 	were		अकर्मककर्तरि
