Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	तप्त-कार्तस्वर-भास्वराम्बरः 	2	तप्त-कार्तस्वर-भास्वराम्बरः 	तप्त-कार्तस्वर-भास्वराम्बरः{पुं}{1;एक} 	तप्त-कार्तस्वर-भास्वराम्बरः{पुं}{1;एक}  	विशेषणम्,3	तपाये गये सुवर्ण के समान देदीप्यमान पीताम्बरवाले	whose garment was bright like molten gold	<<तप्त-कार्तस्वरं>K1-<भास्वर-अम्बरम्>K1>B6	
2	कठोर-ताराधिप-लाञ्छन-च्छविः 	3	कठोर-ताराधिप-लाञ्छन-च्छविः 	कठोर-ताराधिप-लाञ्छन-च्छवि{स्त्री}{1;एक} 	कठोर-ताराधिप-लाञ्छन-च्छवि{स्त्री}{1;एक} 	विशेषणम्,3	पूर्णचन्द्र के लांछन के समान कान्तिवाले	whose lustre was similar to the hue of the stain in the full-moon	<<<कठोर-ताराधिप>K3-लाञ्छनं>T6-छविः>B6	
3	सः 	1	सः 	तद्{पुं}{1;एक} 	तद्{पुं}{1;एक} 	कर्ता,6	वह 	he		
4	वाडवजात-वेदसः 	5	वाडवजात-वेदसः 	वाडवजात-वेदस्{नपुं}{5;एक}/वेदस्{नपुं}{6;एक}/वेदस्{पुं}{1;बहु}/वेदस्{पुं}{2;बहु}/वेदस्{पुं}{5;एक}/वेदस्{पुं}{6;एक} 	वाडवजात-वेदस्{पुं}{6;एक}	षष्ठीसम्बन्धः,5 	वडवाग्नि की	of the submarine fire	<वाडव-जातवेदस्>K3	
5	शिखाभिः 	6	शिखाभिः 	शिखा{स्त्री}{3;बहु} 	शिखा{स्त्री}{3;बहु} 	करण,6	ज्वालाओं_से	by the flames		
6	आश्लिष्टः 	7	आश्लिष्टः 	आश्लिष्ट{पुं}{1;एक} 	आङ्_श्लिष्1{कृत्_प्रत्ययः:क्त;श्लिषुँ;भ्वादिः;पुं}{1;एक} 	विशेषणम्,8 ??	संयुक्त	sorrounded by		कर्मणि
7	अम्भसां 	9	अम्भसां 	अम्भस्{नपुं}{6;बहु} 	अम्भस्{नपुं}{6;बहु} 	षष्ठीसम्बन्धः,8 	जल_की 	of the water		
8	निधिः 	10	निधिः 	निधि{पुं}{1;एक} 	निधि{पुं}{1;एक} 	प्रतियोगी,9 	निधि 	treasure		
9	इव 	8	इव 	इव{अव्य} 	इव{अव्य} 	अनुयोगी,10	जैसे 	like		
10	विदिद्युते. 	4	विदिद्युते 	वि_द्युत्1{कर्तरि;लिट्;उ;एक;आत्मनेपदी;द्युतँ;भ्वादिः}/वि_द्युत्1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;द्युतँ;भ्वादिः}/वि_द्युत्1{भावे;लिट्;उ;एक;आत्मनेपदी;द्युतँ;भ्वादिः}/वि_द्युत्1{भावे;लिट्;प्र;एक;आत्मनेपदी;द्युतँ;भ्वादिः}. 	वि_द्युत्1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;द्युतँ;भ्वादिः}. 	0	शोभने लगे.	shone		
										अकर्मककर्तरि
