Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	रथ-अङ्ग-पाणेः 	1	रथ-अङ्ग-पाणेः 	रथ-अङ्ग-पाणि{पुं}{5;एक}/पाणि{पुं}{6;एक} 	रथ-अङ्ग-पाणि{पुं}{6;एक} 	षष्ठीसम्बन्धः,3	सुदर्शनचक्रधारी की	of the one who holds a disc as a weapon in his hand (lord Srïkŗśņa)	<<रथ-अङ्गम्>T6-पाणिः>B6	
2	रोचिषां 	3	रोचिषां 	रोचिस्{नपुं}{6;बहु} 	रोचिस्{नपुं}{6;बहु} 	विशेषणम्,1	छवि_के	Of lustre		
3	पटलेन 	2	पटलेन 	पटल{नपुं}{3;एक} 	पटल{नपुं}{3;एक} 	कर्ता,4 ****	समूह_से	with the mass		
4	संवलिताः 	5	संवलिताः 	संवलित{पुं}{1;बहु}/संवलिता{स्त्री}{1;बहु}/संवलिता{स्त्री}{2;बहु} 	सम्_वल्1{कृत्_प्रत्ययः:क्त;वलँ;भ्वादिः;स्त्री}{1;बहु} 	****	मिश्रित	mixed up		कर्मणि
5	ऋषि-त्विषः 	4	ऋषि-त्विषः 	ऋषि-त्विष्{स्त्री}{1;बहु}/त्विष्{स्त्री}{2;बहु}/त्विष्{स्त्री}{5;एक}/त्विष्{स्त्री}{6;एक} 	ऋषि-त्विष्{स्त्री}{6;एक}	षष्ठीसम्बन्धः,6	ऋषि_की छवि	bright rays of sage	<ऋषि-त्विट्>T6	
6	नक्तं 	11	नक्तं 	नक्तम्{अव्य}/नक्त{नपुं}{1;एक}/नक्त{नपुं}{2;एक} 	नक्तम्{अव्य}	क्रिया-विशेषणम्,12	रात्रि_में	at night		
7	तरोः 	8	तरोः 	तरु{पुं}{5;एक}/तरु{पुं}{6;एक} 	तरु{पुं}{6;एक} 	षष्ठीसम्बन्धः,8 	वृक्ष_के 	of a tree		
8	चलत्-पलाशान्तर-गोचराः 	7	चलत्-पलाशान्तर-गोचराः 	चलत्-पलाशान्तर-गोचर{पुं}{1;बहु} 	चलत्-पलाशान्तर-गोचर{पुं}{1;बहु} 	विशेषणम्,10 	हिलते हुए पत्तों_के बीच से आती हुई	shaking leaves	<<<चलत्-पलाशाः>K1-अन्तराणि>T6-गोचराः>B6	
9	तुषार-मूर्तेः 	9	तुषार-मूर्तेः 	तुषार-मूर्ति{पुं}{5;एक}/मूर्ति{पुं}{6;एक}/मूर्ति{स्त्री}{5;एक}/मूर्ति{स्त्री}{6;एक} 	तुषार-मूर्ति{पुं}{6;एक} 	षष्ठीसम्बन्धः,10 	चन्द्रमा_के	of the moon		
10	अंशवः 	12	अंशवः 	अंशु{पुं}{1;बहु} 	अंशु{पुं}{1;बहु} 	प्रतियोगी,10	किरणों	beams		
11	इव 	10	इव 	इव{अव्य} 	इव{अव्य} 	अनुयोगी,12	जैसे 	like		
12	विरेजिरे. 	6	विरेजिरे 	वि_राज्1{कर्तरि;लिट्;प्र;बहु;उभयपदी;राजृँ;भ्वादिः}/वि_राज्1{कर्मणि;लिट्;प्र;बहु;आत्मनेपदी;राजृँ;भ्वादिः}. 	वि_राज्1{कर्तरि;लिट्;प्र;बहु;उभयपदी;राजृँ;भ्वादिः}. 	0	शोभित_थी.	shone		अकर्मककर्तरि
